country,date,confirmed,deaths,recovered,daily_new_cases,daily_new_deaths,daily_new_recovered,cases_7day_avg,deaths_7day_avg,active_cases,case_fatality_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,total_tests,new_tests,new_tests_smoothed,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population,icu_patients,hosp_patients,reproduction_rate,mobility_retail,mobility_grocery,mobility_parks,mobility_transit,mobility_workplaces,mobility_residential,zscore_daily_new_cases,anomaly_daily_new_cases,zscore_daily_new_deaths,anomaly_daily_new_deaths,zscore_cases_7day_avg,anomaly_cases_7day_avg,is_anomaly,daily_new_cases_smoothed,daily_new_deaths_smoothed,cases_7day_avg_smoothed
Germany,2020-01-22,24726,276,23159,751.0,8.0,703.0,751.0,8.0,1291,0.011162339,225.0,135.0,23107.0,761564.0,225.0,4965,4965,4965,1.5,0.015,0.0561,18.0,35.2,240,45.7,21.5,52559,8.0,81.3,0.947,83783942,454.0,2104.0,1.0,-21.0,-28.0,-25.0,-27.0,-36.0,13.0,-1.2477420415806975,False,-1.4043735340401708,False,-1.1246083633266408,False,False,751.0,8.0,751.0
Germany,2020-01-23,25477,284,23862,751.0,8.0,703.0,751.0,8.0,1331,0.011147309,225.0,135.0,23107.0,761564.0,225.0,9936,4971,4971,3.01,0.0151,0.1431,24.3,46.3,240,45.7,21.5,52559,8.0,81.3,0.947,83783942,454.0,2104.0,1.3,-26.0,-28.0,-20.0,-32.0,-27.0,14.0,-1.2714324605429774,False,-1.3540064007726587,False,-1.122960115336574,False,False,751.0,8.0,751.0
Germany,2020-01-24,26251,293,24587,774.0,9.0,725.0,762.5,8.5,1371,0.011161479,225.0,135.0,23107.0,761564.0,225.0,14967,5031,5031,4.54,0.0152,0.046,50.8,37.9,240,45.7,21.5,52559,8.0,81.3,0.947,83783942,454.0,2104.0,1.0,-28.0,-21.0,-17.0,-20.0,-25.0,12.0,-1.058780435832539,False,-0.6227739932519473,False,-0.9568043364493817,False,False,774.0,9.0,758.6666666666666
Germany,2020-01-25,27049,302,25335,798.0,9.0,748.0,774.3333,8.666667,1412,0.011164923,225.0,135.0,23107.0,761564.0,225.0,19975,5008,5008,6.05,0.0152,0.1067,5.5,41.0,240,45.7,21.5,52559,8.0,81.3,0.947,83783942,454.0,2104.0,1.0,-27.0,-26.0,-27.0,-27.0,-26.0,13.0,-0.8743407202930875,False,-0.6991952905266273,False,-0.8307621181486063,False,False,798.0,9.0,768.5
Germany,2020-01-26,27870,311,26104,821.0,9.0,769.0,786.0,8.75,1455,0.0111589525,225.0,135.0,23107.0,761564.0,225.0,25059,5084,5084,7.59,0.0154,0.065,6.1,42.0,240,45.7,21.5,52559,8.0,81.3,0.947,83783942,454.0,2104.0,0.93,-25.0,-27.0,-22.0,-29.0,-26.0,12.0,-0.7286869746466544,False,-0.7527726527090802,False,-0.7380529659150916,False,False,821.0,9.0,779.0
Germany,2020-01-27,28716,321,26896,846.0,10.0,792.0,798.0,9.0,1499,0.011178437,225.0,135.0,23107.0,761564.0,225.0,30255,5196,5196,9.17,0.0157,0.1819,14.4,46.6,240,45.7,21.5,52559,8.0,81.3,0.947,83783942,454.0,2104.0,1.08,-29.0,-25.0,-25.0,-35.0,-22.0,13.0,-0.5908032305171034,False,-0.1636634176769942,False,-0.6637758425196949,False,False,846.0,10.0,790.1666666666666
Germany,2020-01-28,29588,330,27713,872.0,9.0,817.0,810.3333,9.0,1545,0.01115317,225.0,135.0,23107.0,761564.0,225.0,35276,5021,5021,10.69,0.0152,0.0226,46.1,30.9,240,45.7,21.5,52559,8.0,81.3,0.947,83783942,454.0,2104.0,0.9,-30.0,-20.0,-19.0,-28.0,-30.0,11.0,-0.46687758392110024,False,-0.870142259494465,False,-0.6030210604204422,False,False,872.0,9.0,801.8571428571429
Germany,2020-01-29,30487,340,28555,899.0,10.0,842.0,823.0,9.142858,1592,0.011152294,225.0,135.0,23107.0,761564.0,225.0,40206,4930,4930,12.18,0.0149,0.0228,16.8,42.3,240,45.7,21.5,52559,8.0,81.3,0.947,83783942,454.0,2104.0,0.96,-22.0,-22.0,-19.0,-32.0,-30.0,13.0,-0.35474719829486184,False,-0.34200591041864625,False,-0.5524157910505034,False,False,899.0,10.0,823.0
Germany,2020-01-30,31412,351,29421,925.0,11.0,866.0,847.8571,9.571428,1640,0.011174073,225.0,135.0,23107.0,761564.0,225.0,45200,4994,4994,13.7,0.0151,0.0684,17.5,46.9,240,45.7,21.5,52559,8.0,81.3,0.947,83783942,454.0,2104.0,1.04,-23.0,-19.0,-17.0,-29.0,-26.0,16.0,-0.2650856958063946,False,0.11065196254426198,False,-0.4174376698140867,False,False,925.0,11.0,847.8571428571429
Germany,2020-01-31,32366,361,30315,954.0,10.0,894.0,873.5714,9.714286,1690,0.011153679,225.0,135.0,23107.0,761564.0,225.0,50296,5096,5096,15.24,0.0154,0.0887,14.7,50.2,240,45.7,21.5,52559,8.0,81.3,0.947,83783942,454.0,2104.0,0.89,-25.0,-21.0,-19.0,-30.0,-30.0,16.0,-0.17103989439460474,False,-0.47831564603111004,False,-0.2991955134529946,False,False,954.0,10.0,873.5714285714286
