country,date,confirmed,deaths,recovered,daily_new_cases,daily_new_deaths,daily_new_recovered,cases_7day_avg,deaths_7day_avg,active_cases,case_fatality_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,total_tests,new_tests,new_tests_smoothed,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population,icu_patients,hosp_patients,reproduction_rate,mobility_retail,mobility_grocery,mobility_parks,mobility_transit,mobility_workplaces,mobility_residential,zscore_daily_new_cases,anomaly_daily_new_cases,zscore_daily_new_deaths,anomaly_daily_new_deaths,zscore_cases_7day_avg,anomaly_cases_7day_avg,is_anomaly,daily_new_cases_smoothed,daily_new_deaths_smoothed,cases_7day_avg_smoothed
India,2020-01-22,24726,609,22497,751.0,19.0,684.0,751.0,19.0,1620,0.024629945,275.0,165.0,23031.0,761769.0,275.0,5035,5035,5035,1.53,0.0153,0.1014,3.5,32.8,464,28.4,6.4,6427,0.53,69.7,0.645,1380004385,493.0,2169.0,1.01,-26.0,-21.0,-24.0,-23.0,-28.0,12.0,-1.2477420415806975,False,-1.0337731224436366,False,-1.1246083633266408,False,False,751.0,19.0,751.0
India,2020-01-23,25477,628,23181,751.0,19.0,684.0,751.0,19.0,1668,0.024649683,275.0,165.0,23031.0,761769.0,275.0,10118,5083,5083,3.07,0.0154,0.0671,9.8,44.1,464,28.4,6.4,6427,0.53,69.7,0.645,1380004385,493.0,2169.0,1.01,-25.0,-23.0,-21.0,-25.0,-27.0,13.0,-1.2714324605429774,False,-1.0815858829773728,False,-1.122960115336574,False,False,751.0,19.0,751.0
India,2020-01-24,26251,647,23885,774.0,19.0,704.0,762.5,19.0,1719,0.02464668,275.0,165.0,23031.0,761769.0,275.0,15127,5009,5009,4.58,0.0152,0.1035,14.6,45.2,464,28.4,6.4,6427,0.53,69.7,0.645,1380004385,493.0,2169.0,1.09,-28.0,-26.0,-28.0,-30.0,-25.0,12.0,-1.058780435832539,False,-1.1413717748989498,False,-0.9568043364493817,False,False,774.0,19.0,758.6666666666666
India,2020-01-25,27049,666,24611,798.0,19.0,726.0,774.3333,19.0,1772,0.024621982,275.0,165.0,23031.0,761769.0,275.0,20091,4964,4964,6.09,0.015,0.1557,23.3,42.1,464,28.4,6.4,6427,0.53,69.7,0.645,1380004385,493.0,2169.0,1.09,-25.0,-23.0,-29.0,-26.0,-28.0,12.0,-0.8743407202930875,False,-1.1487815860882398,False,-0.8307621181486063,False,False,798.0,19.0,768.5
India,2020-01-26,27870,687,25358,821.0,21.0,747.0,786.0,19.5,1825,0.024650162,275.0,165.0,23031.0,761769.0,275.0,25074,4983,4983,7.6,0.0151,0.1381,7.4,48.2,464,28.4,6.4,6427,0.53,69.7,0.645,1380004385,493.0,2169.0,1.03,-20.0,-26.0,-19.0,-23.0,-26.0,12.0,-0.7286869746466544,False,-0.48720657037290876,False,-0.7380529659150916,False,False,821.0,21.0,779.0
India,2020-01-27,28716,708,26128,846.0,21.0,770.0,798.0,19.8,1880,0.024655245,275.0,165.0,23031.0,761769.0,275.0,30075,5001,5001,9.11,0.0152,0.1396,3.5,32.0,464,28.4,6.4,6427,0.53,69.7,0.645,1380004385,493.0,2169.0,0.92,-23.0,-20.0,-9.0,-35.0,-25.0,11.0,-0.5908032305171034,False,-0.562859080789842,False,-0.6637758425196949,False,False,846.0,21.0,790.1666666666666
India,2020-01-28,29588,729,26921,872.0,21.0,793.0,810.3333,20.0,1938,0.024638368,275.0,165.0,23031.0,761769.0,275.0,35076,5001,5001,10.63,0.0152,0.0617,5.2,44.7,464,28.4,6.4,6427,0.53,69.7,0.645,1380004385,493.0,2169.0,1.12,-23.0,-26.0,-9.0,-32.0,-32.0,8.0,-0.46687758392110024,False,-0.6282880386485578,False,-0.6030210604204422,False,False,872.0,21.0,801.8571428571429
India,2020-01-29,30487,751,27739,899.0,22.0,818.0,823.0,20.285715,1997,0.02463345,275.0,165.0,23031.0,761769.0,275.0,40138,5062,5062,12.16,0.0153,0.0442,11.9,36.8,464,28.4,6.4,6427,0.53,69.7,0.645,1380004385,493.0,2169.0,1.16,-31.0,-21.0,-12.0,-33.0,-28.0,9.0,-0.35474719829486184,False,-0.4109430279070693,False,-0.5524157910505034,False,False,899.0,22.0,823.0
India,2020-01-30,31412,774,28581,925.0,23.0,842.0,847.8571,20.857143,2057,0.024640264,275.0,165.0,23031.0,761769.0,275.0,45238,5100,5100,13.71,0.0155,0.1138,28.2,48.5,464,28.4,6.4,6427,0.53,69.7,0.645,1380004385,493.0,2169.0,0.93,-36.0,-25.0,-12.0,-37.0,-27.0,10.0,-0.2650856958063946,False,-0.2269425274729505,False,-0.4174376698140867,False,False,925.0,23.0,847.8571428571429
India,2020-01-31,32366,797,29449,954.0,23.0,868.0,873.5714,21.428572,2120,0.024624607,275.0,165.0,23031.0,761769.0,275.0,50153,4915,4915,15.2,0.0149,0.135,39.5,44.1,464,28.4,6.4,6427,0.53,69.7,0.645,1380004385,493.0,2169.0,1.04,-31.0,-24.0,-19.0,-34.0,-28.0,14.0,-0.17103989439460474,False,-0.3009646327144229,False,-0.2991955134529946,False,False,954.0,23.0,873.5714285714286
