country,date,confirmed,deaths,recovered,daily_new_cases,daily_new_deaths,daily_new_recovered,cases_7day_avg,deaths_7day_avg,active_cases,case_fatality_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,total_tests,new_tests,new_tests_smoothed,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population,icu_patients,hosp_patients,reproduction_rate,mobility_retail,mobility_grocery,mobility_parks,mobility_transit,mobility_workplaces,mobility_residential,zscore_daily_new_cases,anomaly_daily_new_cases,zscore_daily_new_deaths,anomaly_daily_new_deaths,zscore_cases_7day_avg,anomaly_cases_7day_avg,is_anomaly,daily_new_cases_smoothed,daily_new_deaths_smoothed,cases_7day_avg_smoothed
South Africa,2020-01-22,24726,545,22768,751.0,16.0,691.0,751.0,16.0,1413,0.022041576,264.0,158.0,23047.0,761598.0,264.0,4967,4967,4967,1.51,0.0151,0.1013,16.1,39.8,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,0.97,-27.0,-21.0,-22.0,-21.0,-26.0,10.0,-1.2477420415806975,False,-1.3790773598826616,False,-1.1246083633266408,False,False,751.0,16.0,751.0
South Africa,2020-01-23,25477,561,23459,751.0,16.0,691.0,751.0,16.0,1457,0.022019861,264.0,158.0,23047.0,761598.0,264.0,9971,5004,5004,3.02,0.0152,0.0339,14.5,34.4,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,0.95,-22.0,-20.0,-22.0,-25.0,-22.0,12.0,-1.2714324605429774,False,-1.35400640077266,False,-1.122960115336574,False,False,751.0,16.0,751.0
South Africa,2020-01-24,26251,578,24172,774.0,17.0,713.0,762.5,16.5,1501,0.02201821,264.0,158.0,23047.0,761598.0,264.0,14923,4952,4952,4.52,0.015,0.1052,12.1,37.9,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.05,-26.0,-20.0,-20.0,-29.0,-25.0,11.0,-1.058780435832539,False,-0.9639875882041565,False,-0.9568043364493817,False,False,774.0,17.0,758.6666666666666
South Africa,2020-01-25,27049,596,24907,798.0,18.0,735.0,774.3333,17.0,1546,0.022034086,264.0,158.0,23047.0,761598.0,264.0,19955,5032,5032,6.05,0.0152,0.0404,32.2,36.2,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,0.99,-22.0,-23.0,-32.0,-27.0,-25.0,16.0,-0.8743407202930875,False,-0.6278818272353738,False,-0.8307621181486063,False,False,798.0,18.0,768.5
South Africa,2020-01-26,27870,614,25663,821.0,18.0,756.0,786.0,17.25,1593,0.022030858,264.0,158.0,23047.0,761598.0,264.0,24895,4940,4940,7.54,0.015,0.0892,8.8,40.4,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.04,-29.0,-22.0,-25.0,-30.0,-34.0,11.0,-0.7286869746466544,False,-0.693091160668742,False,-0.7380529659150916,False,False,821.0,18.0,779.0
South Africa,2020-01-27,28716,632,26442,846.0,18.0,779.0,798.0,17.4,1642,0.022008637,264.0,158.0,23047.0,761598.0,264.0,30009,5114,5114,9.09,0.0155,0.0806,6.4,51.7,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,0.87,-27.0,-19.0,-12.0,-30.0,-27.0,11.0,-0.5908032305171034,False,-0.7556180560419007,False,-0.6637758425196949,False,False,846.0,18.0,790.1666666666666
South Africa,2020-01-28,29588,652,27245,872.0,20.0,803.0,810.3333,17.833334,1691,0.02203596,264.0,158.0,23047.0,761598.0,264.0,34978,4969,4969,10.6,0.0151,0.0419,11.3,42.0,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.17,-23.0,-22.0,-18.0,-26.0,-23.0,8.0,-0.46687758392110024,False,-0.18366797128785906,False,-0.6030210604204422,False,False,872.0,20.0,801.8571428571429
South Africa,2020-01-29,30487,671,28073,899.0,19.0,828.0,823.0,18.0,1743,0.02200938,264.0,158.0,23047.0,761598.0,264.0,39903,4925,4925,12.09,0.0149,0.0788,6.7,43.9,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,0.95,-29.0,-22.0,-26.0,-27.0,-30.0,13.0,-0.35474719829486184,False,-0.5623824140720666,False,-0.5524157910505034,False,False,899.0,19.0,823.0
South Africa,2020-01-30,31412,692,28924,925.0,21.0,851.0,847.8571,18.714285,1796,0.022029797,264.0,158.0,23047.0,761598.0,264.0,44822,4919,4919,13.58,0.0149,0.0427,20.5,43.3,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.07,-24.0,-28.0,-15.0,-35.0,-27.0,13.0,-0.2650856958063946,False,-0.07211621806391916,False,-0.4174376698140867,False,False,925.0,21.0,847.8571428571429
South Africa,2020-01-31,32366,713,29803,954.0,21.0,879.0,873.5714,19.285715,1850,0.02202929,264.0,158.0,23047.0,761598.0,264.0,49896,5074,5074,15.12,0.0154,0.0858,7.7,40.9,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.18,-31.0,-20.0,-28.0,-27.0,-30.0,11.0,-0.17103989439460474,False,-0.15552075226388368,False,-0.2991955134529946,False,False,954.0,21.0,873.5714285714286
South Africa,2020-02-01,33348,734,30707,982.0,21.0,904.0,899.8571,19.714285,1907,0.022010315,264.0,158.0,23047.0,761598.0,264.0,54838,4942,4942,16.62,0.015,0.0426,22.1,39.5,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.01,-26.0,-24.0,-24.0,-29.0,-29.0,15.0,-0.09553702568919634,False,-0.23272024429736682,False,-0.1964750111140887,False,False,982.0,21.0,899.8571428571429
South Africa,2020-02-02,34360,757,31639,1012.0,23.0,932.0,927.1429,20.428572,1964,0.022031432,264.0,158.0,23047.0,761598.0,264.0,59895,5057,5057,18.15,0.0153,0.0344,15.6,40.8,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.2,-33.0,-23.0,-13.0,-26.0,-28.0,13.0,-0.08744682386214611,False,0.0904275247663063,False,-0.16257622575870276,False,False,1012.0,23.0,927.1428571428571
South Africa,2020-02-03,35403,780,32599,1043.0,23.0,960.0,955.2857,21.142857,2024,0.022032032,264.0,158.0,23047.0,761598.0,264.0,64816,4921,4921,19.64,0.0149,0.0896,44.9,32.6,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.08,-24.0,-29.0,-22.0,-31.0,-32.0,14.0,-0.08539585720874225,False,-0.07742870163531355,False,-0.13861688884608533,False,False,1043.0,23.0,955.2857142857143
South Africa,2020-02-04,36477,803,33588,1074.0,23.0,989.0,984.1429,21.571428,2086,0.022013871,264.0,158.0,23047.0,761598.0,264.0,69751,4935,4935,21.14,0.015,0.0843,10.5,39.2,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.16,-29.0,-24.0,-20.0,-30.0,-32.0,14.0,-0.08789676487266282,False,-0.23574691366112333,False,-0.12038962369558005,False,False,1074.0,23.0,984.1428571428571
South Africa,2020-02-05,37584,828,34608,1107.0,25.0,1020.0,1013.8571,22.428572,2148,0.022030652,264.0,158.0,23047.0,761598.0,264.0,74814,5063,5063,22.67,0.0153,0.162,4.9,40.4,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.22,-34.0,-21.0,-16.0,-34.0,-30.0,15.0,-0.0850857488481066,False,0.05148023054826262,False,-0.106567383525576,False,False,1107.0,25.0,1013.8571428571429
South Africa,2020-02-06,38724,853,35657,1140.0,25.0,1049.0,1044.5714,23.0,2214,0.022027683,264.0,158.0,23047.0,761598.0,264.0,79633,4819,4819,24.13,0.0146,0.0866,15.6,39.7,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,0.97,-30.0,-24.0,-16.0,-33.0,-38.0,17.0,-0.0873092739025086,False,-0.10979159377002563,False,-0.09620849742822889,False,False,1140.0,25.0,1044.5714285714287
South Africa,2020-02-07,39899,879,36739,1175.0,26.0,1082.0,1076.1428,23.714285,2281,0.022030627,264.0,158.0,23047.0,761598.0,264.0,84530,4897,4897,25.62,0.0148,0.096,31.0,52.6,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.07,-35.0,-28.0,-19.0,-32.0,-34.0,14.0,-0.0847856747816868,False,-0.05968686845332173,False,-0.08977302383997661,False,False,1175.0,26.0,1076.142857142857
South Africa,2020-02-08,41109,905,37853,1210.0,26.0,1114.0,1108.7142,24.428572,2351,0.022014644,264.0,158.0,23047.0,761598.0,264.0,89566,5036,5036,27.14,0.0153,0.1299,12.4,40.5,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.06,-28.0,-25.0,-15.0,-31.0,-34.0,10.0,-0.08694388322131376,False,-0.20932454765322267,False,-0.08639591268198238,False,False,1210.0,26.0,1108.7142857142858
South Africa,2020-02-09,42355,933,39001,1246.0,28.0,1148.0,1142.1428,25.142857,2421,0.022028096,264.0,158.0,23047.0,761598.0,264.0,94443,4877,4877,28.62,0.0148,0.0289,30.4,46.7,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.19,-27.0,-24.0,-21.0,-36.0,-35.0,13.0,-0.08909417751520682,False,0.0186811489252421,False,-0.08668313598872085,False,False,1246.0,28.0,1142.142857142857
South Africa,2020-02-10,43640,961,40184,1285.0,28.0,1183.0,1176.7142,25.857143,2495,0.022021081,264.0,158.0,23047.0,761598.0,264.0,99403,4960,4960,30.12,0.015,0.0331,38.1,46.0,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.13,-30.0,-21.0,-28.0,-38.0,-33.0,15.0,-0.08352554882612612,False,-0.1349528894215526,False,-0.08635426041666178,False,False,1285.0,28.0,1176.7142857142858
South Africa,2020-02-11,44963,990,41402,1323.0,29.0,1218.0,1212.2858,26.714285,2571,0.022018103,264.0,158.0,23047.0,761598.0,264.0,104459,5056,5056,31.65,0.0153,0.0691,5.6,37.9,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.06,-30.0,-22.0,-15.0,-36.0,-34.0,16.0,-0.08649712086304762,False,-0.1120044749664071,False,-0.08618060790527382,False,False,1323.0,29.0,1212.2857142857142
South Africa,2020-02-12,46326,1020,42657,1363.0,30.0,1255.0,1248.8572,27.428572,2649,0.022017874,264.0,158.0,23047.0,761598.0,264.0,109775,5316,5316,33.27,0.0161,0.0291,27.0,41.6,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.23,-31.0,-25.0,-15.0,-42.0,-33.0,16.0,-0.08624152375864752,False,-0.09353457443044902,False,-0.08632894174946533,False,False,1363.0,30.0,1248.857142857143
South Africa,2020-02-13,47730,1051,43950,1404.0,31.0,1293.0,1286.5714,28.285715,2729,0.022019694,264.0,158.0,23047.0,761598.0,264.0,115216,5441,5441,34.91,0.0165,0.0367,25.7,48.7,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.23,-34.0,-23.0,-21.0,-35.0,-41.0,15.0,-0.08665371146011751,False,-0.06606788701099586,False,-0.0862555024980641,False,False,1404.0,31.0,1286.5714285714287
South Africa,2020-02-14,49176,1083,45282,1446.0,32.0,1332.0,1325.2858,29.142857,2811,0.022022938,264.0,158.0,23047.0,761598.0,264.0,121025,5809,5809,36.67,0.0176,0.0814,21.7,42.8,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,0.94,-38.0,-28.0,-18.0,-43.0,-42.0,15.0,-0.08783658339005707,False,-0.055919176911562146,False,-0.08668775996402464,False,False,1446.0,32.0,1325.2857142857142
South Africa,2020-02-15,50666,1116,46654,1490.0,33.0,1372.0,1365.2858,30.142857,2896,0.022026606,264.0,158.0,23047.0,761598.0,264.0,127076,6051,6051,38.51,0.0183,0.1386,58.2,45.4,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,0.99,-36.0,-24.0,-19.0,-38.0,-41.0,15.0,-0.08633624178034077,False,-0.054849098315660184,False,-0.08660053849599762,False,False,1490.0,33.0,1365.2857142857142
South Africa,2020-02-16,52201,1150,48067,1535.0,34.0,1413.0,1406.5714,31.0,2984,0.022030229,264.0,158.0,23047.0,761598.0,264.0,133288,6212,6212,40.39,0.0188,0.1084,7.4,50.3,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.19,-37.0,-26.0,-25.0,-49.0,-47.0,17.0,-0.08598028679531676,False,-0.05242144307839669,False,-0.08618806381371702,False,False,1535.0,34.0,1406.5714285714287
South Africa,2020-02-17,53782,1184,49523,1581.0,34.0,1456.0,1448.8572,31.857143,3075,0.0220148,264.0,158.0,23047.0,761598.0,264.0,139701,6413,6413,42.33,0.0194,0.1283,12.8,49.1,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.39,-35.0,-30.0,-21.0,-37.0,-38.0,17.0,-0.08674135851426489,False,-0.21072164942275454,False,-0.08661162830713877,False,False,1581.0,34.0,1448.857142857143
South Africa,2020-02-18,55411,1220,51023,1629.0,36.0,1500.0,1492.5714,32.857143,3168,0.022017289,264.0,158.0,23047.0,761598.0,264.0,146312,6611,6611,44.34,0.02,0.0297,17.9,45.0,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.43,-38.0,-27.0,-21.0,-47.0,-42.0,17.0,-0.08546268747408142,False,-0.06363563320399493,False,-0.08644737365334529,False,False,1629.0,36.0,1492.5714285714287
South Africa,2020-02-19,57089,1257,52568,1678.0,37.0,1545.0,1537.5714,33.857143,3264,0.022018252,264.0,158.0,23047.0,761598.0,264.0,153480,7168,7168,46.51,0.0217,0.12,29.0,50.7,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.23,-38.0,-26.0,-23.0,-42.0,-40.0,19.0,-0.08558664785717954,False,-0.0826880562395396,False,-0.08633941828836982,False,False,1678.0,37.0,1537.5714285714287
South Africa,2020-02-20,58818,1295,54160,1729.0,38.0,1592.0,1584.0,34.857143,3363,0.02201707,264.0,158.0,23047.0,761598.0,264.0,160651,7171,7171,48.68,0.0217,0.0161,12.4,49.8,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.15,-42.0,-23.0,-26.0,-40.0,-42.0,20.0,-0.08403296594936227,False,-0.09341307986787155,False,-0.08594041047841638,False,False,1729.0,38.0,1584.0
South Africa,2020-02-21,60598,1335,55799,1780.0,40.0,1639.0,1631.7142,36.0,3464,0.02203043,264.0,158.0,23047.0,761598.0,264.0,168026,7375,7375,50.92,0.0223,0.024,13.7,43.4,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.21,-41.0,-33.0,-25.0,-45.0,-43.0,20.0,-0.08703671031147951,False,0.019435253862369183,False,-0.08587085551959424,False,False,1780.0,40.0,1631.7142857142858
South Africa,2020-02-22,62432,1375,57488,1834.0,40.0,1689.0,1680.8572,37.0,3569,0.022023963,264.0,158.0,23047.0,761598.0,264.0,175724,7698,7698,53.25,0.0233,0.0185,15.3,35.2,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.22,-47.0,-28.0,-14.0,-39.0,-38.0,22.0,-0.08564523446750341,False,-0.13919144892901655,False,-0.08577642383325274,False,False,1834.0,40.0,1680.857142857143
South Africa,2020-02-23,64321,1416,59227,1889.0,41.0,1739.0,1731.4286,38.0,3678,0.022014583,264.0,158.0,23047.0,761598.0,264.0,183604,7880,7880,55.64,0.0239,0.1014,3.6,52.1,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.29,-42.0,-28.0,-16.0,-44.0,-47.0,18.0,-0.08590489560291928,False,-0.16582714507090904,False,-0.0857706293982418,False,False,1889.0,41.0,1731.4285714285713
South Africa,2020-02-24,66267,1459,61019,1946.0,43.0,1792.0,1783.5714,39.285713,3789,0.022016993,264.0,158.0,23047.0,761598.0,264.0,192020,8416,8416,58.19,0.0255,0.0656,52.3,53.4,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.24,-45.0,-28.0,-17.0,-48.0,-45.0,21.0,-0.08526958000182246,False,-0.06601375870111971,False,-0.08556961017206861,False,False,1946.0,43.0,1783.5714285714287
South Africa,2020-02-25,68271,1503,62864,2004.0,44.0,1845.0,1837.1428,40.42857,3904,0.022015205,264.0,158.0,23047.0,761598.0,264.0,200603,8583,8583,60.79,0.026,0.2312,10.9,49.1,49,27.6,5.3,12295,2.32,64.1,0.709,59308690,461.0,2087.0,1.23,-42.0,-35.0,-21.0,-50.0,-48.0,18.0,-0.08652987003581461,False,-0.10392200923923609,False,-0.08573269341140284,False,False,2004.0,44.0,1837.142857142857
