country,date,confirmed,deaths,recovered,daily_new_cases,daily_new_deaths,daily_new_recovered,cases_7day_avg,deaths_7day_avg,active_cases,case_fatality_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,total_tests,new_tests,new_tests_smoothed,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population,icu_patients,hosp_patients,reproduction_rate,mobility_retail,mobility_grocery,mobility_parks,mobility_transit,mobility_workplaces,mobility_residential,zscore_daily_new_cases,anomaly_daily_new_cases,zscore_daily_new_deaths,anomaly_daily_new_deaths,zscore_cases_7day_avg,anomaly_cases_7day_avg,is_anomaly,daily_new_cases_smoothed,daily_new_deaths_smoothed,cases_7day_avg_smoothed
United States,2020-01-22,24726,432,23368,751.0,14.0,710.0,751.0,14.0,926,0.017471487,239.0,143.0,23002.0,760860.0,239.0,5077,5077,5077,1.54,0.0154,0.0605,61.8,35.5,36,38.3,16.6,63544,2.77,78.9,0.926,331002651,461.0,2253.0,0.86,-25.0,-21.0,-22.0,-23.0,-28.0,17.0,-1.2477420415806975,False,-0.74535599249993,False,-1.1246083633266408,False,False,751.0,14.0,751.0
United States,2020-01-23,25477,446,24078,751.0,14.0,710.0,751.0,14.0,953,0.017505987,239.0,143.0,23002.0,760860.0,239.0,10068,4991,4991,3.05,0.0151,0.1114,38.0,37.3,36,38.3,16.6,63544,2.77,78.9,0.926,331002651,461.0,2253.0,0.98,-26.0,-18.0,-11.0,-30.0,-26.0,14.0,-1.2714324605429774,False,-0.8091735937126872,False,-1.122960115336574,False,False,751.0,14.0,751.0
United States,2020-01-24,26251,459,24809,774.0,13.0,731.0,762.5,13.5,983,0.017485049,239.0,143.0,23002.0,760860.0,239.0,15106,5038,5038,4.58,0.0153,0.0971,6.0,34.0,36,38.3,16.6,63544,2.77,78.9,0.926,331002651,461.0,2253.0,1.03,-23.0,-23.0,-19.0,-32.0,-25.0,12.0,-1.058780435832539,False,-1.4792005232672778,False,-0.9568043364493817,False,False,774.0,13.0,758.6666666666666
United States,2020-01-25,27049,473,25563,798.0,14.0,754.0,774.3333,13.666667,1013,0.017486783,239.0,143.0,23002.0,760860.0,239.0,20249,5143,5143,6.14,0.0156,0.121,13.1,38.6,36,38.3,16.6,63544,2.77,78.9,0.926,331002651,461.0,2253.0,1.12,-26.0,-24.0,-21.0,-30.0,-25.0,13.0,-0.8743407202930875,False,-0.9228669180865866,False,-0.8307621181486063,False,False,798.0,14.0,768.5
United States,2020-01-26,27870,487,26339,821.0,14.0,776.0,786.0,13.75,1044,0.017473986,239.0,143.0,23002.0,760860.0,239.0,25203,4954,4954,7.64,0.015,0.1054,25.0,46.4,36,38.3,16.6,63544,2.77,78.9,0.926,331002651,461.0,2253.0,1.12,-26.0,-26.0,-16.0,-31.0,-30.0,18.0,-0.7286869746466544,False,-0.9760066581554423,False,-0.7380529659150916,False,False,821.0,14.0,779.0
United States,2020-01-27,28716,502,27139,846.0,15.0,800.0,798.0,14.0,1075,0.017481543,239.0,143.0,23002.0,760860.0,239.0,30262,5059,5059,9.17,0.0153,0.0419,17.8,45.6,36,38.3,16.6,63544,2.77,78.9,0.926,331002651,461.0,2253.0,1.17,-26.0,-27.0,-19.0,-28.0,-29.0,13.0,-0.5908032305171034,False,-0.5479958645949184,False,-0.6637758425196949,False,False,846.0,15.0,790.1666666666666
United States,2020-01-28,29588,518,27963,872.0,16.0,824.0,810.3333,14.333333,1107,0.017507097,239.0,143.0,23002.0,760860.0,239.0,35362,5100,5100,10.72,0.0155,0.1139,17.9,42.2,36,38.3,16.6,63544,2.77,78.9,0.926,331002651,461.0,2253.0,1.01,-26.0,-26.0,-20.0,-29.0,-28.0,12.0,-0.46687758392110024,False,-0.19599838302000944,False,-0.6030210604204422,False,False,872.0,16.0,801.8571428571429
United States,2020-01-29,30487,533,28812,899.0,15.0,849.0,823.0,14.428572,1142,0.017482862,239.0,143.0,23002.0,760860.0,239.0,40323,4961,4961,12.22,0.015,0.0616,22.2,46.7,36,38.3,16.6,63544,2.77,78.9,0.926,331002651,461.0,2253.0,1.08,-28.0,-22.0,-20.0,-32.0,-27.0,14.0,-0.35474719829486184,False,-0.6721402970736682,False,-0.5524157910505034,False,False,899.0,15.0,823.0
United States,2020-01-30,31412,549,29687,925.0,16.0,875.0,847.8571,14.714286,1176,0.017477397,239.0,143.0,23002.0,760860.0,239.0,45391,5068,5068,13.75,0.0154,0.0688,21.0,43.9,36,38.3,16.6,63544,2.77,78.9,0.926,331002651,461.0,2253.0,1.08,-35.0,-32.0,-21.0,-30.0,-27.0,11.0,-0.2650856958063946,False,-0.3611575592573076,False,-0.4174376698140867,False,False,925.0,16.0,847.8571428571429
United States,2020-01-31,32366,566,30588,954.0,17.0,901.0,873.5714,15.285714,1212,0.017487487,239.0,143.0,23002.0,760860.0,239.0,50374,4983,4983,15.26,0.0151,0.0718,4.7,33.1,36,38.3,16.6,63544,2.77,78.9,0.926,331002651,461.0,2253.0,1.05,-27.0,-21.0,-18.0,-32.0,-29.0,12.0,-0.17103989439460474,False,-0.08568300010477677,False,-0.2991955134529946,False,False,954.0,17.0,873.5714285714286
