country,date,confirmed,deaths,recovered,daily_new_cases,daily_new_deaths,daily_new_recovered,cases_7day_avg,deaths_7day_avg,active_cases,case_fatality_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,total_tests,new_tests,new_tests_smoothed,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population,icu_patients,hosp_patients,reproduction_rate,mobility_retail,mobility_grocery,mobility_parks,mobility_transit,mobility_workplaces,mobility_residential,zscore_daily_new_cases,anomaly_daily_new_cases,zscore_daily_new_deaths,anomaly_daily_new_deaths,zscore_cases_7day_avg,anomaly_cases_7day_avg,is_anomaly,daily_new_cases_smoothed,daily_new_deaths_smoothed,cases_7day_avg_smoothed,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,days_since_outbreak,is_weekend,lag_1,lag_3,lag_7,lag_14,lag_1_deaths,lag_7_deaths,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_mean_14,rolling_std_14,rolling_mean_21,rolling_change_7,ewm_mean_7,growth_rate,growth_rate_7d,doubling_time,cfr,recovery_rate,rt_estimate,active_ratio,cases_per_million,mobility_retail_lag7,mobility_grocery_lag7,mobility_parks_lag7,mobility_transit_lag7,mobility_workplaces_lag7,mobility_residential_lag7,mobility_composite_lag7
Brazil,2020-01-22,24726,324,21403,751.0,10.0,650.0,751.0,10.0,2999,0.0131036155,263.0,157.0,23197.0,761584.0,263.0,5128,5128,5128,1.55,0.0155,0.1031,6.9,33.1,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,0.96,-29.0,-22.0,-12.0,-27.0,-28.0,12.0,-1.247742,False,-1.1531327,False,-1.1246084,False,False,751.0,10.0,751.0,0.9749279,-0.22252095,0.5,0.8660254,0.3694837,0.9292372,0,0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,0.0,751.0,751.0,0.0,751.0,0.0,751.0,0.0,0.0,365.0,0.0131036155,0.8656071,0.0,0.12128933,3.5331297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2020-01-23,25477,334,22053,751.0,10.0,650.0,751.0,10.0,3090,0.013109864,263.0,157.0,23197.0,761584.0,263.0,10150,5022,5022,3.08,0.0152,0.13,7.0,42.9,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,0.88,-21.0,-21.0,-20.0,-32.0,-28.0,11.0,-1.2714325,False,-1.2165449,False,-1.1229601,False,False,751.0,10.0,751.0,0.43388382,-0.90096885,0.5,0.8660254,0.38541335,0.92274404,1,0,751.0,0.0,0.0,0.0,10.0,0.0,751.0,0.0,751.0,751.0,0.0,751.0,0.0,751.0,0.0,0.0,365.0,0.013109864,0.8656043,0.0,0.12128586,3.5331297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2020-01-24,26251,344,22723,774.0,10.0,670.0,762.5,10.0,3184,0.013104263,263.0,157.0,23197.0,761584.0,263.0,15172,5022,5022,4.6,0.0152,0.08,17.8,38.8,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.0,-27.0,-25.0,-22.0,-27.0,-29.0,14.0,-1.0587804,False,-1.2188857,False,-0.95680434,False,False,774.0,10.0,758.6667,-0.43388376,-0.90096885,0.5,0.8660254,0.40122896,0.9159778,2,0,751.0,0.0,0.0,0.0,10.0,0.0,754.8333,6.6395283,762.5,754.8333,6.6395283,754.8333,0.0,755.97296,0.015312916,0.005104305,136.1429,0.013104263,0.8656051,0.0,0.12129062,3.5872324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2020-01-25,27049,355,23414,798.0,11.0,691.0,774.3333,10.333333,3280,0.01312433,263.0,157.0,23197.0,761584.0,263.0,20159,4987,4987,6.11,0.0151,0.0656,15.2,34.2,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,0.92,-27.0,-21.0,-22.0,-26.0,-32.0,11.0,-0.8743407,False,-0.5518069,False,-0.83076215,False,False,798.0,11.0,768.5,-0.974928,-0.22252055,0.5,0.8660254,0.41692588,0.9089405,3,1,762.5,751.0,0.0,0.0,10.0,0.0,759.7083,11.155769,774.3333,759.7083,11.155769,759.7083,0.0,762.6876,0.015519099,0.0077080037,90.27235,0.01312433,0.86561424,0.0,0.12126142,3.6429029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2020-01-26,27870,366,24124,821.0,11.0,710.0,786.0,10.5,3380,0.013132401,263.0,157.0,23197.0,761584.0,263.0,25099,4940,4940,7.61,0.015,0.029,11.4,36.5,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-31.0,-24.0,-27.0,-26.0,-25.0,14.0,-0.728687,False,-0.6278956,False,-0.73805296,False,False,821.0,11.0,779.0,-0.7818316,0.6234896,0.5,0.8660254,0.4324994,0.9016342,4,1,774.3333,751.0,0.0,0.0,11.0,0.0,764.9667,15.218041,786.0,764.9667,15.218041,764.9667,0.0,770.32904,0.01506675,0.009179753,75.85466,0.013132401,0.8655902,0.0,0.12127736,3.6977897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2020-01-27,28716,377,24857,846.0,11.0,733.0,798.0,10.6,3482,0.013128569,263.0,157.0,23197.0,761584.0,263.0,29953,4854,4854,9.08,0.0147,0.0477,3.5,43.1,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.12,-28.0,-22.0,-22.0,-32.0,-23.0,9.0,-0.5908032,False,-0.691082,False,-0.66377586,False,False,846.0,11.0,790.1667,0.0,1.0,0.5,0.8660254,0.44794497,0.89406115,5,0,786.0,762.5,0.0,0.0,11.0,0.0,770.4722,19.160843,798.0,770.4722,19.160843,770.4722,0.0,778.74457,0.015267176,0.010194324,68.33958,0.013128569,0.865615,0.0,0.12125644,3.7542443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2020-01-28,29588,388,25611,872.0,11.0,754.0,810.3333,10.666667,3589,0.013113424,263.0,157.0,23197.0,761584.0,263.0,34993,5040,5040,10.6,0.0153,0.069,7.7,39.2,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.08,-31.0,-27.0,-17.0,-33.0,-28.0,14.0,-0.46687758,False,-0.7508489,False,-0.6030211,False,False,872.0,11.0,801.8571,0.7818315,0.6234898,0.5,0.8660254,0.46325797,0.8862235,6,0,798.0,774.3333,0.0,0.0,11.0,0.0,776.1667,23.085384,810.3333,776.1667,23.085384,776.1667,0.0,787.8583,0.0154552795,0.010945888,63.67067,0.013113424,0.8655874,0.0,0.12129918,3.8122673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2020-01-29,30487,400,26390,899.0,12.0,779.0,823.0,10.857142,3697,0.013120347,263.0,157.0,23197.0,761584.0,263.0,40114,5121,5121,12.16,0.0155,0.0539,51.7,41.4,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.01,-28.0,-26.0,-24.0,-33.0,-31.0,14.0,-0.3547472,False,-0.26504326,False,-0.5524158,False,False,899.0,12.0,823.0,0.9749279,-0.22252095,0.5,0.8660254,0.47843382,0.87812364,7,0,810.3333,786.0,751.0,0.0,11.0,10.0,786.4524,25.874825,823.0,782.0208,27.036486,782.0208,0.04720688,797.6211,0.015631452,0.013178953,52.940865,0.013120347,0.86561483,7.6711054,0.1212648,3.8718586,-29.0,-22.0,-12.0,-27.0,-28.0,12.0,-28.0
Brazil,2020-01-30,31412,412,27190,925.0,12.0,800.0,847.8571,11.142858,3810,0.013116007,263.0,157.0,23197.0,761584.0,263.0,45164,5050,5050,13.69,0.0153,0.1199,14.1,43.8,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.14,-27.0,-21.0,-18.0,-25.0,-31.0,11.0,-0.2650857,False,-0.3502068,False,-0.41743767,False,False,925.0,12.0,847.8571,0.43388382,-0.90096885,0.5,0.8660254,0.49346814,0.8697639,8,0,823.0,798.0,751.0,0.0,12.0,10.0,800.2891,29.412369,847.8571,789.336,33.484356,789.336,0.06563127,811.19965,0.030203057,0.017493676,39.968185,0.013116007,0.8655928,3.9513981,0.12129123,3.9888005,-21.0,-21.0,-20.0,-32.0,-28.0,11.0,-27.0
Brazil,2020-01-31,32366,425,28016,954.0,13.0,826.0,873.5714,11.571428,3925,0.013131063,263.0,157.0,23197.0,761584.0,263.0,50149,4985,4985,15.2,0.0151,0.0547,4.1,44.5,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.13,-31.0,-23.0,-12.0,-33.0,-29.0,13.0,-0.1710399,False,0.022134662,False,-0.29919553,False,False,954.0,13.0,873.5714,-0.43388376,-0.90096885,0.5,0.8660254,0.50835645,0.86114675,9,0,847.8571,810.3333,762.5,0.0,12.0,10.0,816.15643,35.048527,873.5714,797.7595,41.305992,797.7595,0.081240654,827.7231,0.03032857,0.01963877,35.640274,0.013131063,0.8655997,2.686731,0.12126923,4.109775,-27.0,-25.0,-22.0,-27.0,-29.0,14.0,-27.666666
