country,date,confirmed,deaths,recovered,daily_new_cases,daily_new_deaths,daily_new_recovered,cases_7day_avg,deaths_7day_avg,active_cases,case_fatality_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,total_tests,new_tests,new_tests_smoothed,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population,icu_patients,hosp_patients,reproduction_rate,mobility_retail,mobility_grocery,mobility_parks,mobility_transit,mobility_workplaces,mobility_residential,zscore_daily_new_cases,anomaly_daily_new_cases,zscore_daily_new_deaths,anomaly_daily_new_deaths,zscore_cases_7day_avg,anomaly_cases_7day_avg,is_anomaly,daily_new_cases_smoothed,daily_new_deaths_smoothed,cases_7day_avg_smoothed
Brazil,2020-01-22,24726,324,21403,751.0,10.0,650.0,751.0,10.0,2999,0.0131036155,263.0,157.0,23197.0,761584.0,263.0,5128,5128,5128,1.55,0.0155,0.1031,6.9,33.1,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,0.96,-29.0,-22.0,-12.0,-27.0,-28.0,12.0,-1.2477420415806975,False,-1.1531327161512441,False,-1.1246083633266408,False,False,751.0,10.0,751.0
Brazil,2020-01-23,25477,334,22053,751.0,10.0,650.0,751.0,10.0,3090,0.013109864,263.0,157.0,23197.0,761584.0,263.0,10150,5022,5022,3.08,0.0152,0.13,7.0,42.9,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,0.88,-21.0,-21.0,-20.0,-32.0,-28.0,11.0,-1.2714324605429774,False,-1.2165448524514288,False,-1.122960115336574,False,False,751.0,10.0,751.0
Brazil,2020-01-24,26251,344,22723,774.0,10.0,670.0,762.5,10.0,3184,0.013104263,263.0,157.0,23197.0,761584.0,263.0,15172,5022,5022,4.6,0.0152,0.08,17.8,38.8,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.0,-27.0,-25.0,-22.0,-27.0,-29.0,14.0,-1.058780435832539,False,-1.2188856390206042,False,-0.9568043364493817,False,False,774.0,10.0,758.6666666666666
Brazil,2020-01-25,27049,355,23414,798.0,11.0,691.0,774.3333,10.333333,3280,0.01312433,263.0,157.0,23197.0,761584.0,263.0,20159,4987,4987,6.11,0.0151,0.0656,15.2,34.2,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,0.92,-27.0,-21.0,-22.0,-26.0,-32.0,11.0,-0.8743407202930875,False,-0.5518069427362057,False,-0.8307621181486063,False,False,798.0,11.0,768.5
Brazil,2020-01-26,27870,366,24124,821.0,11.0,710.0,786.0,10.5,3380,0.013132401,263.0,157.0,23197.0,761584.0,263.0,25099,4940,4940,7.61,0.015,0.029,11.4,36.5,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-31.0,-24.0,-27.0,-26.0,-25.0,14.0,-0.7286869746466544,False,-0.627895591291433,False,-0.7380529659150916,False,False,821.0,11.0,779.0
Brazil,2020-01-27,28716,377,24857,846.0,11.0,733.0,798.0,10.6,3482,0.013128569,263.0,157.0,23197.0,761584.0,263.0,29953,4854,4854,9.08,0.0147,0.0477,3.5,43.1,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.12,-28.0,-22.0,-22.0,-32.0,-23.0,9.0,-0.5908032305171034,False,-0.6910820064381948,False,-0.6637758425196949,False,False,846.0,11.0,790.1666666666666
Brazil,2020-01-28,29588,388,25611,872.0,11.0,754.0,810.3333,10.666667,3589,0.013113424,263.0,157.0,23197.0,761584.0,263.0,34993,5040,5040,10.6,0.0153,0.069,7.7,39.2,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.08,-31.0,-27.0,-17.0,-33.0,-28.0,14.0,-0.46687758392110024,False,-0.7508488692548387,False,-0.6030210604204422,False,False,872.0,11.0,801.8571428571429
Brazil,2020-01-29,30487,400,26390,899.0,12.0,779.0,823.0,10.857142,3697,0.013120347,263.0,157.0,23197.0,761584.0,263.0,40114,5121,5121,12.16,0.0155,0.0539,51.7,41.4,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.01,-28.0,-26.0,-24.0,-33.0,-31.0,14.0,-0.35474719829486184,False,-0.26504326794751354,False,-0.5524157910505034,False,False,899.0,12.0,823.0
Brazil,2020-01-30,31412,412,27190,925.0,12.0,800.0,847.8571,11.142858,3810,0.013116007,263.0,157.0,23197.0,761584.0,263.0,45164,5050,5050,13.69,0.0153,0.1199,14.1,43.8,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.14,-27.0,-21.0,-18.0,-25.0,-31.0,11.0,-0.2650856958063946,False,-0.3502067803269924,False,-0.4174376698140867,False,False,925.0,12.0,847.8571428571429
Brazil,2020-01-31,32366,425,28016,954.0,13.0,826.0,873.5714,11.571428,3925,0.013131063,263.0,157.0,23197.0,761584.0,263.0,50149,4985,4985,15.2,0.0151,0.0547,4.1,44.5,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.13,-31.0,-23.0,-12.0,-33.0,-29.0,13.0,-0.17103989439460474,False,0.022134662177830427,False,-0.2991955134529946,False,False,954.0,13.0,873.5714285714286
Brazil,2020-02-01,33348,438,28866,982.0,13.0,850.0,899.8571,11.857142,4044,0.013134221,263.0,157.0,23197.0,761584.0,263.0,55163,5014,5014,16.72,0.0152,0.026,19.9,47.8,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.08,-30.0,-26.0,-25.0,-40.0,-31.0,15.0,-0.09553702568919634,False,-0.0602147474341369,False,-0.1964750111140887,False,False,982.0,13.0,899.8571428571429
Brazil,2020-02-02,34360,451,29742,1012.0,13.0,876.0,927.1429,12.142858,4167,0.013125728,263.0,157.0,23197.0,761584.0,263.0,60099,4936,4936,18.21,0.015,0.1378,7.7,40.3,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.07,-30.0,-27.0,-31.0,-27.0,-28.0,14.0,-0.08744682386214611,False,-0.21101624940003058,False,-0.16257622575870276,False,False,1012.0,13.0,927.1428571428571
Brazil,2020-02-03,35403,465,30645,1043.0,14.0,903.0,955.2857,12.571428,4293,0.01313448,263.0,157.0,23197.0,761584.0,263.0,65082,4983,4983,19.72,0.0151,0.069,7.9,36.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.18,-36.0,-21.0,-20.0,-35.0,-38.0,17.0,-0.08539585720874225,False,0.03767420445929484,False,-0.13861688884608533,False,False,1043.0,14.0,955.2857142857143
Brazil,2020-02-04,36477,479,31574,1074.0,14.0,929.0,984.1429,13.0,4424,0.013131563,263.0,157.0,23197.0,761584.0,263.0,70077,4995,4995,21.24,0.0151,0.1199,10.4,40.5,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-27.0,-25.0,-31.0,-35.0,-35.0,14.0,-0.08789676487266282,False,-0.1284587488846771,False,-0.12038962369558005,False,False,1074.0,14.0,984.1428571428571
Brazil,2020-02-05,37584,493,32533,1107.0,14.0,959.0,1013.8571,13.285714,4558,0.013117284,263.0,157.0,23197.0,761584.0,263.0,75049,4972,4972,22.74,0.0151,0.2269,22.2,54.7,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.36,-29.0,-23.0,-17.0,-32.0,-27.0,15.0,-0.0850857488481066,False,-0.27654523307723594,False,-0.106567383525576,False,False,1107.0,14.0,1013.8571428571429
Brazil,2020-02-06,38724,508,33519,1140.0,15.0,986.0,1044.5714,13.714286,4697,0.013118479,263.0,157.0,23197.0,761584.0,263.0,79947,4898,4898,24.23,0.0148,0.0829,11.0,49.4,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.13,-28.0,-18.0,-18.0,-35.0,-31.0,13.0,-0.0873092739025086,False,-0.06708445021574448,False,-0.09620849742822889,False,False,1140.0,15.0,1044.5714285714287
Brazil,2020-02-07,39899,523,34537,1175.0,15.0,1018.0,1076.1428,14.0,4839,0.013108098,263.0,157.0,23197.0,761584.0,263.0,84854,4907,4907,25.71,0.0149,0.0426,7.5,40.0,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.0,-34.0,-22.0,-30.0,-35.0,-32.0,15.0,-0.0847856747816868,False,-0.22689215826037548,False,-0.08977302383997661,False,False,1175.0,15.0,1076.142857142857
Brazil,2020-02-08,41109,539,35584,1210.0,16.0,1047.0,1108.7142,14.428572,4986,0.013111484,263.0,157.0,23197.0,761584.0,263.0,89903,5049,5049,27.24,0.0153,0.176,13.2,43.5,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-32.0,-27.0,-11.0,-35.0,-36.0,17.0,-0.08694388322131376,False,-0.04835377383897146,False,-0.08639591268198238,False,False,1210.0,16.0,1108.7142857142858
Brazil,2020-02-09,42355,556,36662,1246.0,17.0,1078.0,1142.1428,15.0,5137,0.01312714,263.0,157.0,23197.0,761584.0,263.0,94965,5062,5062,28.78,0.0153,0.1094,24.5,41.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-36.0,-25.0,-27.0,-39.0,-36.0,15.0,-0.08909417751520682,False,0.12460061612431304,False,-0.08668313598872085,False,False,1246.0,17.0,1142.142857142857
Brazil,2020-02-10,43640,573,37775,1285.0,17.0,1113.0,1176.7142,15.428572,5292,0.013130155,263.0,157.0,23197.0,761584.0,263.0,99982,5017,5017,30.3,0.0152,0.0551,27.0,54.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.07,-30.0,-28.0,-12.0,-36.0,-37.0,17.0,-0.08352554882612612,False,-0.045110996830063664,False,-0.08635426041666178,False,False,1285.0,17.0,1176.7142857142858
Brazil,2020-02-11,44963,590,38920,1323.0,17.0,1145.0,1212.2858,15.857142,5453,0.0131219,263.0,157.0,23197.0,761584.0,263.0,104983,5001,5001,31.81,0.0152,0.1105,3.5,45.2,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.27,-32.0,-27.0,-19.0,-37.0,-37.0,12.0,-0.08649712086304762,False,-0.18971331171613517,False,-0.08618060790527382,False,False,1323.0,17.0,1212.2857142857142
Brazil,2020-02-12,46326,608,40100,1363.0,18.0,1180.0,1248.8572,16.428572,5618,0.013124379,263.0,157.0,23197.0,761584.0,263.0,110329,5346,5346,33.43,0.0162,0.1084,13.3,43.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.22,-36.0,-23.0,-18.0,-36.0,-37.0,18.0,-0.08624152375864752,False,-0.04244381240314373,False,-0.08632894174946533,False,False,1363.0,18.0,1248.857142857143
Brazil,2020-02-13,47730,626,41315,1404.0,18.0,1215.0,1286.5714,16.857143,5789,0.013115441,263.0,157.0,23197.0,761584.0,263.0,115836,5507,5507,35.1,0.0167,0.0847,15.8,55.8,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,0.98,-35.0,-28.0,-17.0,-37.0,-37.0,20.0,-0.08665371146011751,False,-0.20607389816110222,False,-0.0862555024980641,False,False,1404.0,18.0,1286.5714285714287
Brazil,2020-02-14,49176,645,42567,1446.0,19.0,1252.0,1325.2858,17.428572,5964,0.013116154,263.0,157.0,23197.0,761584.0,263.0,121719,5883,5883,36.88,0.0178,0.0628,5.6,48.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-28.0,-24.0,-20.0,-41.0,-39.0,18.0,-0.08783658339005707,False,-0.06710109874385846,False,-0.08668775996402464,False,False,1446.0,19.0,1325.2857142857142
Brazil,2020-02-15,50666,665,43856,1490.0,20.0,1289.0,1365.2858,18.0,6145,0.013125173,263.0,157.0,23197.0,761584.0,263.0,127688,5969,5969,38.69,0.0181,0.0189,7.7,47.7,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.03,-39.0,-28.0,-21.0,-43.0,-44.0,11.0,-0.08633624178034077,False,0.038416102487659615,False,-0.08660053849599762,False,False,1490.0,20.0,1365.2857142857142
